Nome do alimento,Calorias,Carboidratos,Lipidos,Fibra,Proteina
"Água, rede pública de abastecimento (Lisboa)",0,0,0,0,0
"Água mineral natural gaseificada, ""Pizões-Moura""",0,0,0,0,0
"Água mineral natural gasocarbónica, ""Pedras Salgadas""",0,0,0,0,0
"Água mineral natural, ""Luso""",0,0,0,0,0
"Água mineral natural gaseificada, ""Vimeiro""",0,0,0,0,0
Salsa fresca,20,0,"0,4","2,9","3,1"
Coentros crus,28,"0,6","1,8","2,9","2,4"
Alho cru,72,"0,6","11,3","3,0","3,8"
Alho em pó,310,"1,2","52,3","10,0","17,6"
Peito de frango com pele cru,177,"8,9",0,0,"24,1"
Peito de frango sem pele cru,108,"1,2",0,0,"24,1"
Perna de frango sem pele crua,111,"2,6",0,0,"22,0"
"Frango, pele crua",474,"48,3",0,0,"9,7"
"Frango (1/4 de frango), peito e asa com pele cru",196,"12,7",0,0,"20,4"
"Frango (1/4 de frango), perna com pele crua",195,"13,0",0,0,"19,1"
Frango inteiro com pele cru,201,"13,6",0,0,"19,6"
Frango inteiro sem pele cru,110,"2,0",0,0,"22,9"
Pão ralado,359,"2,3","71,6","3,4","11,2"
Leite de cabra cru,70,"4,0","4,6",0,"3,8"
Leite de ovelha cru,93,"6,2","4,2",0,"5,1"
Leite de vaca pasteurizado gordo,62,"3,5","4,7",0,"3,0"
Leite de vaca UHT gordo,62,"3,5","4,7",0,"3,0"
Leite de vaca UHT meio gordo,47,"1,6","4,9",0,"3,3"
Leite de vaca UHT magro,35,"0,2","4,9",0,"3,4"
Leite de vaca UHT aromatizado meio gordo,60,"1,8","7,9",0,"3,0"
Leite de vaca pasteurizado gordo especial,62,"3,4","4,8",0,"3,1"
Leite de vaca em pó gordo,495,"25,9","38,7",0,"26,8"
Leite de vaca em pó meio gordo,427,"13,5","45,6",0,"30,7"
Leite de vaca em pó magro,359,"0,9","52,7",0,"35,1"
"Leite condensado, de vaca",338,"9,0","56,4",0,"7,8"
"Leite evaporado, de vaca",136,"7,8","9,8",0,"6,6"
"Leite humano, colostro",60,"2,8","6,3",0,"2,3"
"Leite humano, transição",66,"3,7","6,6",0,"1,6"
Leite humano,66,"3,4","7,5",0,"1,4"
"Queijo ""Emmental""",384,"29,7",0,0,"28,9"
Queijo da Ilha,358,"25,7","0,2",0,"31,5"
Queijo fundido 40% gordura,326,"25,7","0,2",0,"22,5"
